reversion_init,word_init,reversion_detal1,reversion_week1,word_week1,reversion_detal2,reversion_week2,word_week1,reversion_detal3,reversion_week3,word_week3,reversion_detal4,reversion_week4,word_week4,reversion_month,word_month,revert,log_word_month
2.71,-27.42857143,0.43,3.14,512.8571429,8.714285714,11.85714286,1255.571429,-8.714285714,3.142857143,238.2857143,-2.142857143,1,28.71428571,4.785714286,508.8571429,1,2.71
2.43,72.71428571,-2.43,0.00,0,0.142857143,0.142857143,86.57142857,2.428571429,2.571428571,-47.42857143,-2.571428571,0,0,0.678571429,9.785714286,1,1.03
10.86,734.4285714,7.57,18.43,672.4285714,-14.71428571,3.714285714,412.8571429,-3.714285714,0,0,0,0,0,5.535714286,271.3214286,1,2.44
0.29,78,0.14,0.43,-7,-0.428571429,0,0,0.285714286,0.285714286,-1.285714286,-0.285714286,0,0,0.178571429,-2.071428571,1,0.03
0.14,-2.571428571,-0.14,0.00,0,0.142857143,0.142857143,16.28571429,-0.142857143,0,0,0,0,0,0.035714286,4.071428571,1,0.71
14.57,3102.857143,13.29,27.86,3141.714286,2.142857143,30,3508.857143,-20.42857143,9.571428571,1929,-7.571428571,2,68.42857143,17.35714286,2162,1,3.34
0.14,-0.142857143,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
82.71,33229.28571,-81.86,0.86,570.1428571,-0.857142857,0,0,0,0,0,0,0,0,0.214285714,142.5357143,1,2.16
5.86,301.4285714,-5.86,0.00,0,2.428571429,2.428571429,145.2857143,3.285714286,5.714285714,368.1428571,-2.857142857,2.857142857,222.2857143,2.75,183.9285714,1,2.27
0.43,-14377.57143,-0.43,0.00,0,0.571428571,0.571428571,2.857142857,-0.571428571,0,0,0,0,0,0.142857143,0.714285714,1,0.23
9.57,3667,-2.14,7.43,725.1428571,-5,2.428571429,981.1428571,3.571428571,6,2435.142857,-0.142857143,5.857142857,456.4285714,5.428571429,1149.464286,1,3.06
0.57,59.14285714,-0.57,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
